,Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,P/L,LPA,P/VP,VPA,P/EBIT,Marg. Bruta,PSR,Marg. EBIT,P/Ativos,Marg. Líquida,P/Cap. Giro,EBIT / Ativo,P/Ativ Circ Liq,ROIC,ROE,EV / EBITDA,Liquidez Corr,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,Receita Líquida (3 meses),EBIT,EBIT (3 meses),Lucro Líquido,Lucro Líquido (3 meses),Div. Yield,Depósitos,Cart. de Crédito,Result Int Financ,Result Int Financ (3 meses),Rec Serviços,Rec Serviços (3 meses)
364,CEDO4,16.48,PN,17/07/2025,CIA DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA PN,16.48,Tecidos. Vestuário e Calçados,26.5,Fios e Tecidos,24666.0,164800000.0,31/03/2025,549439000.0,10000000.0,1.65,9.98,0.53,31.37,0.91,29.0,0.16,17.5,0.17,9.6,2.49,18.6,-0.68,20.2,31.8,2.67,1.19,3.03,1.25,9.4,1.07,971374000.0,393027000.0,8388000.0,384639000.0,415222000.0,313676000.0,1035090000.0,223781000.0,181120000.0,35352000.0,99822000.0,4657000.0,,,,,,,
365,CTKA3,34.18,ON,30/06/2025,KARSTEN ON,18.0,Tecidos. Vestuário e Calçados,41.79,Fios e Tecidos,244.0,212087000.0,31/03/2025,583937000.0,6205000.0,1.77,19.36,11.43,2.99,2.49,46.5,0.3,11.9,0.3,16.9,0.98,12.0,-0.94,15.8,647.4,5.57,1.87,6.86,23.99,13.4,1.01,707988000.0,445097000.0,73247000.0,371850000.0,463979000.0,18555000.0,712564000.0,153092000.0,85078000.0,18943000.0,120133000.0,13086000.0,,,,,,,
366,CTKA4,35.0,PN,18/07/2025,KARSTEN PN,15.46,Tecidos. Vestuário e Calçados,37.88,Fios e Tecidos,7013.0,217175000.0,31/03/2025,589025000.0,6205000.0,1.81,19.36,11.7,2.99,2.55,46.5,0.3,11.9,0.31,16.9,1.01,12.0,-0.96,15.8,647.4,5.62,1.87,6.92,23.99,13.4,1.01,707988000.0,445097000.0,73247000.0,371850000.0,463979000.0,18555000.0,712564000.0,153092000.0,85078000.0,18943000.0,120133000.0,13086000.0,,,,,,,
367,CEDO3,25.25,ON,08/07/2025,CIA DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA ON,22.0,Tecidos. Vestuário e Calçados,30.8,Fios e Tecidos,1147.0,252500000.0,31/03/2025,637139000.0,10000000.0,2.53,9.98,0.8,31.37,1.39,29.0,0.24,17.5,0.26,9.6,3.81,18.6,-1.05,20.2,31.8,3.1,1.19,3.52,1.25,9.4,1.07,971374000.0,393027000.0,8388000.0,384639000.0,415222000.0,313676000.0,1035090000.0,223781000.0,181120000.0,35352000.0,99822000.0,4657000.0,,,,,,,
368,CAMB3,9.55,ON,18/07/2025,PENALTY ON,9.22,Tecidos. Vestuário e Calçados,12.03,Calçados,329406.0,403726000.0,31/03/2025,358474000.0,42275000.0,5.39,1.77,1.36,7.01,4.63,48.9,0.95,20.5,1.06,17.6,3.17,23.0,3.84,27.6,25.3,3.55,3.09,4.11,0.01,30.3,1.12,379701000.0,2920000.0,48172000.0,-45252000.0,188224000.0,296523000.0,425668000.0,97864000.0,87150000.0,19820000.0,74884000.0,19111000.0,8.8,,,,,,
369,PTNT4,4.62,PN,18/07/2025,PETTENATI PN,4.48,Tecidos. Vestuário e Calçados,7.89,Fios e Tecidos,90367.0,221975000.0,31/03/2025,363440000.0,48046500.0,5.76,0.8,0.5,9.15,6.24,14.8,0.27,4.3,0.21,7.2,0.61,3.3,3.6,4.9,8.8,5.04,2.56,10.21,0.88,5.6,0.77,1063020000.0,386760000.0,245295000.0,141465000.0,594885000.0,439823000.0,822907000.0,220868000.0,35579900.0,23329900.0,38556500.0,8348830.0,5.9,,,,,,
370,TECN3,6.36,ON NM,18/07/2025,TECHNOS ON NM,4.64,Tecidos. Vestuário e Calçados,7.15,Acessórios,662532.0,393404000.0,31/03/2025,405700000.0,61856000.0,6.2,1.03,0.96,6.6,5.07,54.7,0.94,18.5,0.57,15.2,1.25,11.3,2.2,14.4,15.5,6.04,3.2,5.23,0.25,11.7,0.61,685591000.0,101307000.0,89011000.0,12296000.0,456230000.0,408423000.0,418195000.0,86681000.0,77538000.0,9351000.0,63447000.0,4485000.0,3.9,,,,,,
371,GRND3,5.1,ON,18/07/2025,GRENDENE SA ON,4.62,Tecidos. Vestuário e Calçados,5.8,Calçados,13641500.0,4601020000.0,31/03/2025,3185990000.0,902160000.0,6.49,0.79,1.17,4.36,9.29,47.6,1.73,18.7,0.98,26.7,1.84,10.6,1.85,16.5,18.0,5.62,4.47,6.43,0.05,5.8,0.57,4678430000.0,198833000.0,1613850000.0,-1415020000.0,3230540000.0,3934740000.0,2653050000.0,563824000.0,495403000.0,75920000.0,708909000.0,113364000.0,9.5,,,,,,
372,VIVA3,25.58,ON NM,18/07/2025,VIVARA SA ON NM,16.1,Tecidos. Vestuário e Calçados,27.77,Acessórios,78688100.0,6041950000.0,31/03/2025,6334330000.0,236198000.0,8.25,3.1,2.31,11.06,9.26,70.1,2.26,24.5,1.43,27.4,3.18,15.4,5.87,16.8,28.0,7.85,3.54,9.7,0.18,24.5,0.63,4228260000.0,469466000.0,177078000.0,292389000.0,2645690000.0,2611940000.0,2669600000.0,537081000.0,652823000.0,92404900.0,732623000.0,115038000.0,2.6,,,,,,
373,VULC3,18.83,ON,18/07/2025,VULCABRAS S/A ON,13.72,Tecidos. Vestuário e Calçados,21.74,Calçados,11594500.0,5188340000.0,31/03/2025,5202200000.0,275536000.0,8.84,2.13,2.35,8.01,9.27,41.9,1.65,17.8,1.77,18.6,3.45,19.1,3.92,22.0,26.6,7.75,3.74,9.29,0.12,24.4,1.07,2933300000.0,257705000.0,243846000.0,13859000.0,2051530000.0,2205960000.0,3152510000.0,701194000.0,559706000.0,105344000.0,587177000.0,106072000.0,8.6,,,,,,
