Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,P/L,LPA,P/VP,VPA,P/EBIT,Marg. Bruta,PSR,Marg. EBIT,P/Ativos,Marg. Líquida,P/Cap. Giro,EBIT / Ativo,P/Ativ Circ Liq,ROIC,ROE,EV / EBITDA,Liquidez Corr,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,Receita Líquida (3 meses),EBIT,EBIT (3 meses),Lucro Líquido,Lucro Líquido (3 meses),Div. Yield
SMTO3,14.7,ON NM,22/10/2025,SAO MARTINHO ON NM,14.7,Alimentos Processados,26.1,Açucar e Alcool,35098500.0,4886790000.0,30/06/2025,12420700000.0,332435000.0,9.52,1.54,0.7,20.86,4.47,23.1,0.66,14.8,0.22,7.0,1.23,5.0,-0.58,5.9,7.4,3.43,2.5,11.37,1.49,11.8,0.34,21912200000.0,10324100000.0,2790210000.0,7533890000.0,6596560000.0,6934320000.0,7375490000.0,1857160000.0,1092730000.0,268072000.0,513240000.0,62829000.0,6.2
BAUH4,86.94,PN,22/10/2025,EXCELSIOR PN,76.77,Alimentos Processados,87.5,Carnes e Derivados,20417.0,454001000.0,30/06/2025,395285000.0,5222000.0,16.1,5.4,3.34,26.02,21.18,25.1,1.72,8.1,2.33,10.7,8.91,11.0,9.51,22.4,20.8,14.77,1.92,18.44,-,9.8,1.36,194595000.0,,58716000.0,-58716000.0,106473000.0,135885000.0,263834000.0,67427000.0,21437000.0,5682000.0,28206000.0,5460000.0,1.4
MDIA3,29.4,ON NM,22/10/2025,MDIASBRANCO ON NM,18.81,Alimentos Processados,29.62,Alimentos Diversos,16275300.0,9966600000.0,30/06/2025,9683710000.0,339000000.0,16.98,1.73,1.22,24.01,11.12,32.8,1.01,9.1,0.78,6.0,2.95,7.1,7.4,9.6,7.2,7.52,2.33,10.81,0.23,8.2,0.77,12704200000.0,1871540000.0,2154430000.0,-282887000.0,5910530000.0,8140170000.0,9824750000.0,2723400000.0,896029000.0,294207000.0,586880000.0,216382000.0,2.3
JOPA3,20.11,ON,17/10/2025,JOSAPAR S/A ON,19.55,Alimentos Processados,22.36,Alimentos Diversos,282.0,212804000.0,30/06/2025,737096000.0,10582000.0,30.09,0.67,0.35,57.01,3.05,20.6,0.1,3.4,0.09,0.6,0.29,3.1,1.61,4.6,1.2,8.87,1.83,10.57,2.02,3.7,0.92,2254480000.0,1217130000.0,692841000.0,524292000.0,1621490000.0,603273000.0,2070120000.0,430831000.0,69747000.0,20420000.0,7072000.0,1061000.0,3.1
HAPV3,32.36,ON NM,22/10/2025,HAPVIDA ON NM,30.45,ServMédHospit Análises e Diagnósticos,57.15,ServMédHospit Análises e Diagnósticos,149203000.0,16265100000.0,30/06/2025,19798200000.0,502631000.0,-33.99,-0.95,0.33,96.64,12.76,13.9,0.55,4.3,0.22,-1.6,2.59,1.7,-1.2,2.0,-1.0,8.55,2.05,15.54,0.27,30.2,0.4,74351400000.0,13074800000.0,9541790000.0,3533030000.0,12259900000.0,48574100000.0,29488200000.0,862763000.0,1274380000.0,78789000.0,-478595000.0,-331491000.0,
AALR3,5.6,ON NM,22/10/2025,ALLIAR ON NM,3.92,ServMédHospit Análises e Diagnósticos,15.26,ServMédHospit Análises e Diagnósticos,346429.0,853210000.0,30/06/2025,1175260000.0,152359000.0,-9.86,-0.57,0.81,6.95,7.76,27.7,0.69,8.9,0.3,-6.2,30.02,3.8,-0.82,4.2,-8.2,5.4,1.04,10.69,0.41,2.6,0.43,2878610000.0,438469000.0,116421000.0,322048000.0,742340000.0,1059070000.0,1229180000.0,303567000.0,109937000.0,29260000.0,-86536000.0,-15900000.0,
ONCO3,2.12,ON NM,22/10/2025,ONCOCLINICAS ON NM,1.4,ServMédHospit Análises e Diagnósticos,4.97,ServMédHospit Análises e Diagnósticos,12038700.0,1402200000.0,30/06/2025,5747740000.0,661415000.0,-1.48,-1.43,0.49,4.31,3.31,30.9,0.23,6.9,0.14,-16.7,1.45,4.1,-0.37,5.0,-33.2,7.59,1.4,13.57,1.86,24.1,0.6,10301300000.0,5313550000.0,968011000.0,4345540000.0,3374080000.0,2852590000.0,6158480000.0,1464390000.0,423580000.0,87686000.0,-946570000.0,-140992000.0,
DASA3,1.41,ON,22/10/2025,DIAGNOSTICOS DA AMERICA SA ON,1.2,ServMédHospit Análises e Diagnósticos,2.7,ServMédHospit Análises e Diagnósticos,1888440.0,1769560000.0,30/06/2025,8312500000.0,1255010000.0,-1.46,-0.97,0.23,6.07,1.96,27.7,0.13,6.5,0.09,-8.7,1.2,4.5,-0.25,5.0,-15.9,3.71,1.37,9.22,1.04,10.9,0.69,20220200000.0,7950100000.0,1407160000.0,6542940000.0,5462140000.0,7611980000.0,13930600000.0,2465930000.0,901312000.0,148190000.0,-1211270000.0,-178585000.0,
MATD3,4.19,ON NM,22/10/2025,MATER DEI ON NM,3.42,ServMédHospit Análises e Diagnósticos,4.95,ServMédHospit Análises e Diagnósticos,1012290.0,1397570000.0,30/06/2025,2147350000.0,333549000.0,10.77,0.39,0.96,4.35,4.28,29.1,0.66,15.5,0.32,6.5,1.38,7.5,-1.03,9.1,8.9,4.93,3.09,6.57,0.96,16.5,0.48,4338670000.0,1387990000.0,638213000.0,749777000.0,1499520000.0,1451790000.0,2102980000.0,545807000.0,326621000.0,96569000.0,129810000.0,26235000.0,1.8
ODPV3,13.15,ON NM,22/10/2025,ODONTOPREV ON NM,9.48,ServMédHospit Análises e Diagnósticos,13.51,ServMédHospit Análises e Diagnósticos,18559700.0,7177600000.0,30/06/2025,6803700000.0,545825000.0,12.38,1.06,5.56,2.37,9.64,37.2,3.06,31.7,3.39,24.7,-36.9,35.2,-22.27,43.9,44.9,8.49,0.72,9.14,-,7.4,1.11,2118060000.0,,373902000.0,-373902000.0,503735000.0,1291700000.0,2347890000.0,603695000.0,744530000.0,190787000.0,579924000.0,147828000.0,7.5
