Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,P/L,LPA,P/VP,VPA,P/EBIT,Marg. Bruta,PSR,Marg. EBIT,P/Ativos,Marg. Líquida,P/Cap. Giro,EBIT / Ativo,P/Ativ Circ Liq,ROIC,ROE,EV / EBITDA,Liquidez Corr,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,Receita Líquida (3 meses),EBIT,EBIT (3 meses),Lucro Líquido,Lucro Líquido (3 meses),Div. Yield,Depósitos,Cart. de Crédito,Result Int Financ,Result Int Financ (3 meses),Rec Serviços,Rec Serviços (3 meses)
PRNR3,17.65,ON NM,17/04/2025,PRINER ON NM,9.81,Serviços Diversos,17.83,Serviços Diversos,5248280.0,824626000.0,31/12/2024,1069390000.0,46721000.0,81.24,0.22,2.42,7.29,9.18,22.4,0.75,8.2,0.67,2.5,13.1,7.3,-3.11,9.5,3.0,7.72,1.12,11.9,1.43,47.8,0.9,1229160000.0,488508000.0,243739000.0,244769000.0,609764000.0,340742000.0,1100580000.0,419693000.0,89846000.0,45850000.0,10150000.0,9128000.0,0.4,,,,,,
B3SA3,12.18,ON,17/04/2025,B3 ON,9.06,Serviços Financeiros Diversos,12.81,Serviços Financeiros Diversos,561944000.0,64146000000.0,31/12/2024,64074500000.0,5266500000.0,14.02,0.87,3.49,3.49,10.48,90.0,6.07,57.9,1.42,43.3,10.64,13.5,-5.5,19.4,24.9,9.58,1.66,10.47,0.72,2.2,0.23,45228800000.0,13228800000.0,13300300000.0,-71485400.0,15187400000.0,18370800000.0,10572700000.0,2667800000.0,6118080000.0,1491020000.0,4576580000.0,1178460000.0,2.7,,,,,,
USIM3,5.65,ON N1,17/04/2025,USIMINAS ON N1,4.79,Siderurgia e Metalurgia,9.34,Siderurgia,1378560.0,7079900000.0,31/12/2024,7894250000.0,1253080000.0,-48.51,-0.12,0.3,19.06,12.02,6.4,0.27,2.3,0.18,,0.56,1.5,1.67,1.9,-0.6,4.35,3.64,13.4,0.28,7.8,0.65,39871800000.0,6768330000.0,5953980000.0,814353000.0,17430900000.0,23881800000.0,25869800000.0,6480250000.0,588911000.0,270735000.0,-145946000.0,-183439000.0,4.6,,,,,,
PMAM3,2.2,ON,17/04/2025,PARANAPANEMA SA ON,0.78,Siderurgia e Metalurgia,2.46,Artefatos de Cobre,1633800.0,165933000.0,31/12/2024,5340570000.0,75424000.0,-0.08,-28.35,-0.03,-83.34,-0.68,-35.6,0.36,-53.4,0.1,-465.0,-0.03,-15.1,-0.02,-26.0,34.0,-33.55,0.06,-21.73,-0.83,-45.4,0.28,1627100000.0,5217080000.0,42444000.0,5174630000.0,397927000.0,-6285850000.0,459926000.0,130080000.0,-245804000.0,-92347000.0,-2138610000.0,-809511000.0,,,,,,,
GOAU3,8.62,ON N1,17/04/2025,METALÚRGICA GERDAU ON N1,8.08,Siderurgia e Metalurgia,11.84,Siderurgia,360756.0,8617470000.0,31/12/2024,13883100000.0,999706000.0,5.58,1.55,0.43,20.04,1.23,13.7,0.13,10.5,0.1,6.9,0.39,8.1,2.1,9.6,7.7,1.37,3.01,1.98,0.68,7.5,0.77,86948500000.0,13636500000.0,8370850000.0,5265640000.0,32803000000.0,20035500000.0,67026700000.0,16822500000.0,7023290000.0,1430640000.0,1544820000.0,109797000.0,5.4,,,,,,
GGBR3,14.55,ON N1,17/04/2025,GERDAU SA ON N1,13.66,Siderurgia e Metalurgia,20.06,Siderurgia,714504.0,29867000000.0,31/12/2024,35226600000.0,2052710000.0,6.54,2.22,0.52,28.23,4.24,13.7,0.45,10.5,0.34,6.9,1.37,8.1,7.41,9.7,7.9,3.47,3.01,5.01,0.24,7.5,0.77,86814500000.0,13636500000.0,8276840000.0,5359640000.0,32669400000.0,57948800000.0,67026700000.0,16822500000.0,7036620000.0,1433590000.0,4566320000.0,316023000.0,5.6,,,,,,
TECN3,6.21,ON NM,17/04/2025,TECHNOS ON NM,3.78,Tecidos. Vestuário e Calçados,6.21,Acessórios,728385.0,393441000.0,31/12/2024,380925000.0,63356000.0,6.07,1.02,0.96,6.48,5.41,54.7,0.98,18.2,0.54,16.2,1.21,10.0,2.17,13.7,15.8,6.13,2.9,5.23,0.26,11.3,0.55,724487000.0,107763000.0,120279000.0,-12516000.0,495693000.0,410409000.0,400280000.0,137274000.0,72766000.0,34053000.0,64833000.0,26011000.0,3.9,,,,,,
GRND3,5.59,ON,17/04/2025,GRENDENE SA ON,4.88,Tecidos. Vestuário e Calçados,6.18,Calçados,10042800.0,5043070000.0,31/12/2024,3968120000.0,902160000.0,6.86,0.81,1.25,4.48,9.86,47.2,1.92,19.5,1.12,28.0,1.93,11.4,1.95,15.7,18.2,6.86,7.1,7.76,0.02,7.2,0.58,4500060000.0,88824000.0,1163780000.0,-1074950000.0,3042040000.0,4040950000.0,2628580000.0,859430000.0,511369000.0,217228000.0,735236000.0,330383000.0,7.3,,,,,,
VIVA3,19.92,ON NM,17/04/2025,VIVARA SA ON NM,16.65,Tecidos. Vestuário e Calçados,28.71,Acessórios,88799000.0,4705060000.0,31/12/2024,4820940000.0,236198000.0,7.2,2.77,1.88,10.57,7.76,70.2,1.83,23.5,1.1,25.4,2.63,14.2,4.68,16.7,26.2,6.34,2.79,7.96,0.16,24.6,0.6,4273730000.0,398561000.0,282683000.0,115878000.0,2781890000.0,2496940000.0,2577110000.0,913301000.0,605957000.0,309661000.0,653394000.0,299458000.0,1.9,,,,,,
VULC3,16.65,ON,17/04/2025,VULCABRAS S/A ON,13.51,Tecidos. Vestuário e Calçados,17.62,Calçados,11836400.0,4587670000.0,31/12/2024,4616870000.0,275536000.0,8.05,2.07,2.17,7.66,8.37,41.9,1.5,18.0,1.53,18.7,3.14,18.3,3.69,21.2,27.0,7.05,3.18,8.42,0.16,26.0,1.02,2993310000.0,336852000.0,307660000.0,29192000.0,2127760000.0,2109980000.0,3048580000.0,905719000.0,548196000.0,159691000.0,569873000.0,169199000.0,8.4,,,,,,
TFCO4,10.53,PN,17/04/2025,TRACK FIELD PN,8.4,Tecidos. Vestuário e Calçados,12.4,Vestuário,4391120.0,1613390000.0,31/12/2024,1741260000.0,153218000.0,13.7,0.77,3.41,3.09,10.05,56.6,1.94,19.3,1.96,14.2,4.53,19.4,7.46,22.3,24.9,9.84,2.68,10.85,0.32,31.3,1.01,825166000.0,151284000.0,23410000.0,127874000.0,568521000.0,472809000.0,831759000.0,273291000.0,160468000.0,54236000.0,117753000.0,40598000.0,2.3,,,,,,
ALPA3,7.5,ON N1,17/04/2025,ALPARGATAS ON N1,5.62,Tecidos. Vestuário e Calçados,10.54,Calçados,74883.0,5122960000.0,31/12/2024,5057980000.0,683062000.0,47.44,0.16,1.27,5.91,25.14,43.1,1.25,5.0,0.75,2.6,2.43,3.0,7.81,4.2,2.7,11.15,2.56,24.82,0.35,3.5,0.6,6839730000.0,1423520000.0,1488510000.0,-64986900.0,3459140000.0,4035590000.0,4108310000.0,1122410000.0,203795000.0,-4055910.0,107979000.0,2201000.0,1.3,,,,,,
TIMS3,17.84,ON NM,17/04/2025,TIM ON NM,13.0,Telecomunicações,17.84,Telecomunicações,120213000.0,43187200000.0,31/12/2024,43187200000.0,2420800000.0,,,,,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,12.1,-,,,,,,,-6095530000.0,,-1228290000.0,,-519423000.0,,9.2,,,,,,
OIBR3,0.61,ON N1,17/04/2025,OI ON N1,0.48,Telecomunicações,7.43,Telecomunicações,5045080.0,201374000.0,31/12/2024,10402600000.0,330122000.0,0.02,29.11,-0.01,-49.43,-0.07,-45.7,0.06,-94.3,0.01,302.2,-6.91,-15.2,-0.01,-19.9,-58.9,-4.7,1.0,-3.47,-0.73,-19.9,0.16,19760600000.0,11954100000.0,1752820000.0,10201200000.0,8049700000.0,-16316400000.0,3180420000.0,-3253910000.0,-2998900000.0,-540762000.0,9610800000.0,-2906200000.0,,,,,,,
FIQE3,3.62,ON NM,17/04/2025,UNIFIQUE ON NM,3.24,Telecomunicações,3.98,Telecomunicações,1544110.0,1310620000.0,31/12/2024,1412200000.0,362050000.0,7.51,0.48,1.09,3.31,5.24,50.8,1.28,24.4,0.57,17.0,6.12,11.0,-3.14,14.1,14.6,2.88,1.47,5.65,0.46,37.9,0.45,2282620000.0,549337000.0,447756000.0,101581000.0,667899000.0,1197860000.0,1025380000.0,265731000.0,250163000.0,63919000.0,174566000.0,49550000.0,7.0,,,,,,
